Meranie	Priemer	Std. odchylka
Pozdĺžna Ľavá	6.543005	0.931373
Priečna Ľavá	3.920800	0.626368
Kôra	0.658039	0.120262
Aorta	1.000000	0.000000
Stavec	3.011213	0.446380
Pozdĺžna Pravá	6.810585	1.217076
Priečna Pravá	4.097079	0.880733
