Meranie	Priemer	Std. odchylka
Pozdĺžna Ľavá	2.192171	0.263692
Priečna Ľavá	1.318550	0.228636
Kôra	0.220056	0.034992
Aorta	0.340150	0.059284
Stavec	1.000000	0.000000
Pozdĺžna Pravá	2.290243	0.430451
Priečna Pravá	1.372355	0.273016
