Meranie	Rasa	Priemer	Std. odchylka
Pozdĺžna Ľavá
	BT	0.983648	0.122529
	SBT	0.969340	0.039522
	AST	0.936827	0.041753
Priečna Ľavá
	BT	0.943402	0.153555
	SBT	1.070158	0.110994
	AST	0.949417	0.112339
