Meranie	Pearson	P-Hodnota	Dolny limit	Horny limit
Pozdĺžna Ľavá	-0.203349	0.485637	-0.662454	0.366806
Priečna Ľavá	-0.085200	0.772128	-0.589147	0.466467
Kôra	-0.227893	0.433280	-0.676654	0.344320
Aorta	0.679599	0.007504	0.233055	0.889457
Stavec	-0.123968	0.672854	-0.614152	0.435239
Pozdĺžna Pravá	-0.511289	0.061673	-0.819543	0.026472
Priečna Pravá	0.196658	0.500406	-0.372823	0.658525
