Meranie	Pearson	P-Hodnota	Dolny limit	Horny limit
Pozdĺžna Ľavá	0.502097	0.039996	0.028276	0.791684
Priečna Ľavá	0.506070	0.038200	0.033597	0.793664
Kôra	0.154539	0.553702	-0.352272	0.591265
Aorta	0.497106	0.042342	0.021630	0.789189
Stavec	NaN	NaN	NaN	NaN
Pozdĺžna Pravá	0.426177	0.088047	-0.068499	0.752649
Priečna Pravá	0.574887	0.015775	0.130225	0.827014
