Meranie	Farba	Priemer	Std. odchylka
Pozdĺžna Ľavá
	Žíhaná	0.986366	0.115506
	Žíhaná	1.004289	0.142446
	Čierna, Biela	0.940752	0.048074
	Hnedá, Biela	0.999029	0.000000
	Čierna, Biela	1.001781	0.000000
	Trikolor	0.957238	0.058409
	Čierna, Biela	0.903231	0.133311
Priečna Ľavá
	Žíhaná	0.791315	0.149205
	Žíhaná	0.956731	0.165084
	Čierna, Biela	0.993888	0.022469
	Hnedá, Biela	1.045699	0.000000
	Čierna, Biela	1.139429	0.000000
	Trikolor	1.069132	0.101681
	Čierna, Biela	0.996933	0.010094
