Meranie	Pearson	P-Hodnota	Dolny limit	Horny limit
Pozdĺžna Ľavá	0.415944	0.096794	-0.080868	0.747206
Priečna Ľavá	0.269842	0.294900	-0.242218	0.664325
Kôra	0.121426	0.642474	-0.381483	0.568870
Aorta	0.186900	0.472586	-0.322737	0.612520
Stavec	NaN	NaN	NaN	NaN
Pozdĺžna Pravá	0.270120	0.294383	-0.241935	0.664493
Priečna Pravá	0.565894	0.017893	0.117100	0.822754
