Lava	Prava	Pearson	P-Hodnota	Dolny limit	Horny limit	Regresia sklon	Regresia posun
Pozdĺžna Ľavá	Pozdĺžna Pravá	0.484091	0.079426	-0.062555	0.807313	3.992620	0.363917
Priečna Ľavá	Priečna Pravá	0.516075	0.058872	-0.019974	0.821667	2.823333	0.223740
