Lava voci aorte	Prava voci aorte	Pearson	P-Hodnota	Dolny limit	Horny limit	Regresia sklon	Regresia posun
Pozdĺžna Ľavá	Pozdĺžna Pravá	0.863411	0.000008	0.654296	0.949867	2.043052	0.660729
Priečna Ľavá	Priečna Pravá	0.603621	0.010298	0.173238	0.840433	2.161969	0.429289
