Lava voci stavcu	Prava voci stavcu	Pearson	P-Hodnota	Dolny limit	Horny limit	Regresia sklon	Regresia posun
Pozdĺžna Ľavá	Pozdĺžna Pravá	0.902322	0.000001	0.744613	0.964616	0.926219	0.552759
Priečna Ľavá	Priečna Pravá	0.614115	0.008726	0.189366	0.845263	0.612765	0.514288
